artist,album,0,ignored tags,image,listeners,mbid,playcount,release-date,tags,url,MA_score,MA_artist,MA_album
Helstar,Nosferatu,,['progressive'],"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/151acf000ef20426485ce82c4aab0c8f.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/151acf000ef20426485ce82c4aab0c8f.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/151acf000ef20426485ce82c4aab0c8f.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/151acf000ef20426485ce82c4aab0c8f.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/151acf000ef20426485ce82c4aab0c8f.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/151acf000ef20426485ce82c4aab0c8f.png', 'size': ''}]",12555,c37ffd9b-9ec3-31f4-b077-910ac456d895,212265,1989-09-19,"['power metal', 'heavy metal', 'thrash metal', 'progressive metal']",https://www.last.fm/music/Helstar/Nosferatu,12.79,Helstar,Nosferatu
Nokturnal Mortum,Голос Сталі,,"['folk black metal', '2009']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/4d15942b92ee4362a04b1802c5ff9ffe.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/4d15942b92ee4362a04b1802c5ff9ffe.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/4d15942b92ee4362a04b1802c5ff9ffe.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/4d15942b92ee4362a04b1802c5ff9ffe.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/4d15942b92ee4362a04b1802c5ff9ffe.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/4d15942b92ee4362a04b1802c5ff9ffe.png', 'size': ''}]",12552,2f5a9cb0-c0ec-4668-8d17-77528ff93cd2,531955,2009-12-26,"['black metal', 'folk metal', 'pagan black metal']",https://www.last.fm/music/Nokturnal+Mortum/%D0%93%D0%BE%D0%BB%D0%BE%D1%81+%D0%A1%D1%82%D0%B0%D0%BB%D1%96,13.98,Nokturnal Mortum,Голос сталі
Testament,Practice What You Preach,,"['albums i own', '1989', 'metal', '80s']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/dbb3544274344eb099bd4ed1b87c142b.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/dbb3544274344eb099bd4ed1b87c142b.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/dbb3544274344eb099bd4ed1b87c142b.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/dbb3544274344eb099bd4ed1b87c142b.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/dbb3544274344eb099bd4ed1b87c142b.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/dbb3544274344eb099bd4ed1b87c142b.png', 'size': ''}]",125200,a7aa9076-b951-4ff4-ab66-ff3159adf61f,1457881,1989-08-04,['thrash metal'],https://www.last.fm/music/Testament/Practice+What+You+Preach,16.85,Testament,Practice What You Preach
Grave Digger,Heavy Metal Breakdown,,"['80s', 'german', '1984']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/6100a7faa0364570c59a656d66d7dd32.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/6100a7faa0364570c59a656d66d7dd32.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/6100a7faa0364570c59a656d66d7dd32.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6100a7faa0364570c59a656d66d7dd32.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6100a7faa0364570c59a656d66d7dd32.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6100a7faa0364570c59a656d66d7dd32.png', 'size': ''}]",12516,29d3fe1e-cd98-4f71-9e53-cf7988fe7a8d,172780,1984,"['heavy metal', 'speed metal']",https://www.last.fm/music/Grave+Digger/Heavy+Metal+Breakdown,9.259999999999998,Grave Digger,Heavy Metal Breakdown
Exodus,Tempo of the Damned,,"['albums i own', 'metal', '2004']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/be6ecfee9521444f97a58a9e585efc44.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/be6ecfee9521444f97a58a9e585efc44.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/be6ecfee9521444f97a58a9e585efc44.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/be6ecfee9521444f97a58a9e585efc44.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/be6ecfee9521444f97a58a9e585efc44.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/be6ecfee9521444f97a58a9e585efc44.png', 'size': ''}]",125040,0bb022ba-8e23-4b12-81f7-281112de622f,1689290,2004-02-02,"['thrash metal', 'heavy metal']",https://www.last.fm/music/Exodus/Tempo+of+the+Damned,17.43,Exodus,Tempo of the Damned
Psychotic Waltz,A Social Grace,,"['1990', 'metal', 'usa']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/3f6950da07caae9d00b919e28aaba962.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/3f6950da07caae9d00b919e28aaba962.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/3f6950da07caae9d00b919e28aaba962.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/3f6950da07caae9d00b919e28aaba962.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/3f6950da07caae9d00b919e28aaba962.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/3f6950da07caae9d00b919e28aaba962.png', 'size': ''}]",12470,4f88685c-30bc-3010-b3c4-b7c90ea31db7,327763,1990,"['progressive metal', 'thrash metal']",https://www.last.fm/music/Psychotic+Waltz/A+Social+Grace,9.73,Psychotic Waltz,A Social Grace
Helloween,Helloween,,"['1985', 'kai hansen']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/7667e16aa2b016c41087193f504843ae.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/7667e16aa2b016c41087193f504843ae.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/7667e16aa2b016c41087193f504843ae.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/7667e16aa2b016c41087193f504843ae.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/7667e16aa2b016c41087193f504843ae.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/7667e16aa2b016c41087193f504843ae.png', 'size': ''}]",12443,dc5be9af-f2c6-4822-bbf0-599f70663a01,149287,1985-03,"['speed metal', 'power metal', 'heavy metal']",https://www.last.fm/music/Helloween/Helloween,10.48,Helloween,Helloween
Soundgarden,Superunknown,,"['albums i own', '90s', 'rock', 'favorite albums']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/850494d70ef94137bb5b50b267fbe487.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/850494d70ef94137bb5b50b267fbe487.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/850494d70ef94137bb5b50b267fbe487.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/850494d70ef94137bb5b50b267fbe487.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/850494d70ef94137bb5b50b267fbe487.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/850494d70ef94137bb5b50b267fbe487.png', 'size': ''}]",1242837,9d005b9c-fd45-412c-970b-3e64a59f84cd,15142602,1994-03-07,['grunge'],https://www.last.fm/music/Soundgarden/Superunknown,13.3,Soundgarden,Superunknown
Scar Symmetry,Pitch Black Progress,,"['albums i own', 'metal']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/cb36ab20823380e23a822b866fc20e78.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/cb36ab20823380e23a822b866fc20e78.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/cb36ab20823380e23a822b866fc20e78.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cb36ab20823380e23a822b866fc20e78.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cb36ab20823380e23a822b866fc20e78.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cb36ab20823380e23a822b866fc20e78.png', 'size': ''}]",124236,18fb00b7-98f0-3edb-8944-dd6e46cb86a7,3866685,2006-04-21,"['melodic death metal', 'progressive metal', 'death metal']",https://www.last.fm/music/Scar+Symmetry/Pitch+Black+Progress,9.36,Scar Symmetry,Pitch Black Progress
Enforcer,Into the Night,,"['metal', '2008', 'nwothm']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/81563f0e6394488db8f209bdf593b70b.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/81563f0e6394488db8f209bdf593b70b.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/81563f0e6394488db8f209bdf593b70b.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/81563f0e6394488db8f209bdf593b70b.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/81563f0e6394488db8f209bdf593b70b.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/81563f0e6394488db8f209bdf593b70b.png', 'size': ''}]",12396,39715ff6-38e9-453b-98d2-f9338c2bd5dd,287526,2008-11-18,"['speed metal', 'heavy metal']",https://www.last.fm/music/Enforcer/Into+the+Night,9.8,Enforcer,Into the Night
Earth,Earth 2: Special Low Frequency Version,,"['drone', 'drone doom', '1993', 'drone metal']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/62173d9dff75420c88fffdeb9dd9f2dc.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/62173d9dff75420c88fffdeb9dd9f2dc.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/62173d9dff75420c88fffdeb9dd9f2dc.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/62173d9dff75420c88fffdeb9dd9f2dc.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/62173d9dff75420c88fffdeb9dd9f2dc.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/62173d9dff75420c88fffdeb9dd9f2dc.png', 'size': ''}]",12358,81b079c2-f434-497b-b8ba-af174f04c2d8,101469,1993-02-05,['doom metal'],https://www.last.fm/music/Earth/Earth+2:+Special+Low+Frequency+Version,10.490000000000002,Earth,Earth 2 - Special Low Frequency Version
