artist,album,0,ignored tags,image,listeners,mbid,playcount,release-date,tags,url,MA_score,MA_artist,MA_album
Opeth,Pale Communion,,"['progressive rock', 'neo-erotic spandex rock', '2014', 'chad kroeger', 'stevie willie didgeridoo']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/33a8234de2a442c6c294b985e8aebb2c.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/33a8234de2a442c6c294b985e8aebb2c.png', 'size': ''}]",99885,9cb4a5bb-bc24-4b4d-b1f5-e5a07397d980,2637051,2014-06-17,[],https://www.last.fm/music/Opeth/Pale+Communion,9.63,Opeth,Pale Communion
Cynic,Traced in Air,,"['2008', 'masterpiece']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c1362bec3001b43c5c4b0d8d24f31e45.png', 'size': ''}]",99813,89d8943c-507f-4476-8b61-dbfef0dce878,3440398,2008-10-22,"['progressive metal', 'progressive death metal', 'technical death metal']",https://www.last.fm/music/Cynic/Traced+in+Air,13.05,Cynic,Traced in Air
Nevermore,This Godless Endeavor,,['albums i own'],"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/96ba62d82a174380ac900aabc15c037f.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/96ba62d82a174380ac900aabc15c037f.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/96ba62d82a174380ac900aabc15c037f.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/96ba62d82a174380ac900aabc15c037f.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/96ba62d82a174380ac900aabc15c037f.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/96ba62d82a174380ac900aabc15c037f.png', 'size': ''}]",99286,b0f0b904-5b74-39d2-92a6-8005d253f5ca,2636087,2005-07-25,"['progressive metal', 'thrash metal', 'power metal', 'heavy metal']",https://www.last.fm/music/Nevermore/This+Godless+Endeavor,16.199999999999996,Nevermore,This Godless Endeavor
Arch Enemy,Burning Bridges,,"['albums i own', 'swedish']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/878f77319e7c496f9fc36c71e534c88c.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/878f77319e7c496f9fc36c71e534c88c.png', 'size': ''}]",97765,ba3ecec8-a8d3-3ff0-beb4-eb48a0e3ec9b,1610280,1999-05-21,"['melodic death metal', 'death metal', 'thrash metal']",https://www.last.fm/music/Arch+Enemy/Burning+Bridges,11.95,Arch Enemy,Burning Bridges
Agalloch,Pale Folklore,,"['1999', 'albums i own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e209f2f825914eefce20f8aa5d4d93a8.png', 'size': ''}]",97666,cc5ec0dd-6892-4e1a-a4e5-ef035b21aa38,2894458,1999-07-06,"['folk metal', 'doom metal', 'black metal']",https://www.last.fm/music/Agalloch/Pale+Folklore,14.96,Agalloch,Pale Folklore
Mayhem,Deathcrush,,"['true norwegian black metal', 'norwegian black metal', 'metal', 'albums i own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/cdf8b86fa4f7091e97151f7d8d8dfc47.png', 'size': ''}]",97536,08f88d68-c0bf-474a-8707-43cd58e28ab6,1558592,1987-03,['black metal'],https://www.last.fm/music/Mayhem/Deathcrush,23.46,Mayhem,Deathcrush
Sabbat,Dreamweaver,,"['metal', 'albums i own', 'epic']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1aab926a893b3a9289a64e812bd8b56c.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1aab926a893b3a9289a64e812bd8b56c.png', 'size': ''}]",9721,0638f139-d1cf-342d-9c25-a2ceeadfb1fb,149440,1989-09,"['thrash metal', 'pagan metal']",https://www.last.fm/music/Sabbat/Dreamweaver,9.2,Sabbat,Dreamweaver
Rush,Grace Under Pressure,,"['progressive rock', 'albums i own', '1984', '80s', 'classic rock']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/fcb88dca643c4179c14a28800d2c5bf9.png', 'size': ''}]",96746,2339f294-6a54-371a-ade3-7b1735c5b0af,1562767,1984-04-12,[],https://www.last.fm/music/Rush/Grace+Under+Pressure,9.36,Rush,Grace Under Pressure
Celtic Frost,Monotheist,,['albums i own'],"[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/0f9e9c126ded4cc2cc9c4952aa9dfb50.png', 'size': ''}]",96385,af74f70f-4542-447e-a32c-4a8c9e69e6bd,1978479,2006,"['doom metal', 'black metal', 'thrash metal', 'avant-garde metal']",https://www.last.fm/music/Celtic+Frost/Monotheist,21.450000000000003,Celtic Frost,Monotheist
Enmity,Illuminations of Vile Engorgement,,"['2005', 'brutal death metal', 'most brutal metal album ever']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/1ed9535424584efad0934e917e2ecb62.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/1ed9535424584efad0934e917e2ecb62.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/1ed9535424584efad0934e917e2ecb62.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1ed9535424584efad0934e917e2ecb62.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1ed9535424584efad0934e917e2ecb62.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/1ed9535424584efad0934e917e2ecb62.png', 'size': ''}]",961,b2f40585-905f-480f-84ec-9b85a929a1f0,43447,2005-04-04,[],https://www.last.fm/music/Enmity/Illuminations+of+Vile+Engorgement,10.5,Enmity,Illuminations of Vile Engorgement
Angra,Temple of Shadows,,"['albums i own', 'brazilian']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/c224dd3abd4c4439b68ad712b587b533.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/c224dd3abd4c4439b68ad712b587b533.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/c224dd3abd4c4439b68ad712b587b533.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c224dd3abd4c4439b68ad712b587b533.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c224dd3abd4c4439b68ad712b587b533.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c224dd3abd4c4439b68ad712b587b533.png', 'size': ''}]",95675,b0839b8b-a0c8-3966-b567-93e3ffa00155,2716057,2004-09-06,"['power metal', 'melodic metal', 'progressive metal']",https://www.last.fm/music/Angra/Temple+of+Shadows,19.51,Angra,Temple of Shadows
Blind Guardian,A Night at the Opera,,"['epic metal', 'albums i own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/e1a0d59047f6ebcc79e1a80f900aa5a7.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/e1a0d59047f6ebcc79e1a80f900aa5a7.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/e1a0d59047f6ebcc79e1a80f900aa5a7.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e1a0d59047f6ebcc79e1a80f900aa5a7.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e1a0d59047f6ebcc79e1a80f900aa5a7.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/e1a0d59047f6ebcc79e1a80f900aa5a7.png', 'size': ''}]",95672,fb4a053e-7139-49e4-9aa6-bf1f29299b3c,2729355,2002-03-05,"['power metal', 'symphonic metal', 'progressive metal']",https://www.last.fm/music/Blind+Guardian/A+Night+at+the+Opera,20.28,Blind Guardian,A Night at the Opera
The Gathering,Mandylion,,"['albums i own', 'atmospheric metal', '1995']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/d6a1ab9a0dbe43ecbf768d8ce8ce5122.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/d6a1ab9a0dbe43ecbf768d8ce8ce5122.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/d6a1ab9a0dbe43ecbf768d8ce8ce5122.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d6a1ab9a0dbe43ecbf768d8ce8ce5122.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d6a1ab9a0dbe43ecbf768d8ce8ce5122.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d6a1ab9a0dbe43ecbf768d8ce8ce5122.png', 'size': ''}]",95570,bbe660b0-a560-3fa4-9412-d327fe1ce6a3,1777427,1995-08-28,"['gothic metal', 'progressive metal']",https://www.last.fm/music/The+Gathering/Mandylion,11.77,The Gathering,Mandylion
Kreator,Extreme Aggression,,"['albums i own', '1989', 'german thrash metal', 'metal']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/b7c1a5953e5c7da0a27851cfd960461d.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/b7c1a5953e5c7da0a27851cfd960461d.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/b7c1a5953e5c7da0a27851cfd960461d.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b7c1a5953e5c7da0a27851cfd960461d.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b7c1a5953e5c7da0a27851cfd960461d.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/b7c1a5953e5c7da0a27851cfd960461d.png', 'size': ''}]",95532,d60b2747-ff16-46ce-a4bb-3f35daf76b05,1478442,1989-06-19,['thrash metal'],https://www.last.fm/music/Kreator/Extreme+Aggression,14.080000000000002,Kreator,Extreme Aggression
Destruction,Sentence of Death,,"['german thrash metal', '1984', 'speed metal swirl']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/a9d7b24689952165599b5734c0c47588.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/a9d7b24689952165599b5734c0c47588.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/a9d7b24689952165599b5734c0c47588.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/a9d7b24689952165599b5734c0c47588.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/a9d7b24689952165599b5734c0c47588.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/a9d7b24689952165599b5734c0c47588.png', 'size': ''}]",9521,aabb7bd1-d765-34cc-8056-da1b895d3377,135082,1984-09-03,"['thrash metal', 'black metal']",https://www.last.fm/music/Destruction/Sentence+of+Death,12.0,Destruction,Sentence of Death
Strapping Young Lad,City,,"['industrial metal', 'albums i own', 'metal']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/00883740f16bdf5e86459fea6b56e82e.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/00883740f16bdf5e86459fea6b56e82e.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/00883740f16bdf5e86459fea6b56e82e.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/00883740f16bdf5e86459fea6b56e82e.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/00883740f16bdf5e86459fea6b56e82e.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/00883740f16bdf5e86459fea6b56e82e.png', 'size': ''}]",95185,37f16faa-6207-43d3-a05b-f5c338d20043,2110720,1996,"['progressive metal', 'extreme metal']",https://www.last.fm/music/Strapping+Young+Lad/City,11.77,Strapping Young Lad,City
King Diamond,Abigail,,"['concept album', 'albums i own', '1987']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/344aa7d390056bb5726af2770ab18aa7.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/344aa7d390056bb5726af2770ab18aa7.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/344aa7d390056bb5726af2770ab18aa7.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/344aa7d390056bb5726af2770ab18aa7.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/344aa7d390056bb5726af2770ab18aa7.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/344aa7d390056bb5726af2770ab18aa7.png', 'size': ''}]",95095,0dcf0812-3064-38d3-a234-74a7084ad634,1655867,1987,"['heavy metal', 'progressive metal']",https://www.last.fm/music/King+Diamond/Abigail,17.5,King Diamond,Abigail
Metallica,Master of Puppets,,"['albums i own', 'metal', 'favourite albums']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/07f492a00c904cc6ccf868010be4d5a6.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/07f492a00c904cc6ccf868010be4d5a6.png', 'size': ''}]",949260,b30c90dd-83f1-4897-ae36-58fb3935e5ee,22467421,2003,"['thrash metal', 'heavy metal']",https://www.last.fm/music/Metallica/Master+of+Puppets,31.83,Metallica,Master of Puppets
Immortal,Pure Holocaust,,"['true norwegian black metal', 'norwegian black metal', '1993', 'albums i own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/c8b0fa3b8cf0485bac12b74311f7efab.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/c8b0fa3b8cf0485bac12b74311f7efab.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/c8b0fa3b8cf0485bac12b74311f7efab.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c8b0fa3b8cf0485bac12b74311f7efab.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c8b0fa3b8cf0485bac12b74311f7efab.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/c8b0fa3b8cf0485bac12b74311f7efab.png', 'size': ''}]",94718,6aac0b23-142d-3568-8fdc-5154220be48d,1538488,1993-11-01,['black metal'],https://www.last.fm/music/Immortal/Pure+Holocaust,17.29,Immortal,Pure Holocaust
Immortal,At the Heart of Winter,,"['norwegian black metal', 'melodic black metal', '1999', 'metal']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/6b1045d8b0db6fa14a6fb53858dcc80c.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/6b1045d8b0db6fa14a6fb53858dcc80c.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/6b1045d8b0db6fa14a6fb53858dcc80c.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6b1045d8b0db6fa14a6fb53858dcc80c.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6b1045d8b0db6fa14a6fb53858dcc80c.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6b1045d8b0db6fa14a6fb53858dcc80c.png', 'size': ''}]",94208,8c8395a0-3a02-35d6-a975-535112ec057e,1912205,1999-02-28,['black metal'],https://www.last.fm/music/Immortal/At+the+Heart+of+Winter,25.09,Immortal,At the Heart of Winter
Anathema,The Silent Enigma,,"['albums i own', 'death doom metal', 'doom']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/5da11d6bc79d4707a77438335d7619a5.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/5da11d6bc79d4707a77438335d7619a5.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/5da11d6bc79d4707a77438335d7619a5.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/5da11d6bc79d4707a77438335d7619a5.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/5da11d6bc79d4707a77438335d7619a5.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/5da11d6bc79d4707a77438335d7619a5.png', 'size': ''}]",93717,a35cb1df-e3e0-3445-b804-919f2ee31a2a,1705599,1995-08-17,"['doom metal', 'gothic metal']",https://www.last.fm/music/Anathema/The+Silent+Enigma,10.31,Anathema,The Silent Enigma
Gamma Ray,Land of the Free,,"['1995', 'albums i own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/d6efef648dec4ee6871b4903e7c0bbcd.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/d6efef648dec4ee6871b4903e7c0bbcd.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/d6efef648dec4ee6871b4903e7c0bbcd.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d6efef648dec4ee6871b4903e7c0bbcd.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d6efef648dec4ee6871b4903e7c0bbcd.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/d6efef648dec4ee6871b4903e7c0bbcd.png', 'size': ''}]",93554,b77474b9-d4a5-4e54-9376-376be8f91e37,1597295,1995-05-29,"['power metal', 'heavy metal', 'speed metal']",https://www.last.fm/music/Gamma+Ray/Land+of+the+Free,10.82,Gamma Ray,Land of the Free
Municipal Waste,The Art of Partying,,"['2007', 'crossover', 'albums i own']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/309a7b58f1c841c1bcfcd252e7773326.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/309a7b58f1c841c1bcfcd252e7773326.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/309a7b58f1c841c1bcfcd252e7773326.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/309a7b58f1c841c1bcfcd252e7773326.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/309a7b58f1c841c1bcfcd252e7773326.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/309a7b58f1c841c1bcfcd252e7773326.png', 'size': ''}]",93461,c31f5168-f411-4869-8459-cb58734e0525,3074828,2007-06-11,"['thrash metal', 'crossover thrash']",https://www.last.fm/music/Municipal+Waste/The+Art+of+Partying,10.79,Municipal Waste,The Art of Partying
Dissection,Reinkaos,,"['albums i own', '2006', 'melodic black metal']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/a6073fbb1b69208674c58fb6a65566f2.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/a6073fbb1b69208674c58fb6a65566f2.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/a6073fbb1b69208674c58fb6a65566f2.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/a6073fbb1b69208674c58fb6a65566f2.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/a6073fbb1b69208674c58fb6a65566f2.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/a6073fbb1b69208674c58fb6a65566f2.png', 'size': ''}]",93104,34ac6a8a-9c53-3373-bbb7-e80fba502161,3082266,2006-03-23,"['melodic death metal', 'black metal']",https://www.last.fm/music/Dissection/Reinkaos,15.6,Dissection,Reinkaos
White Wizzard,Over The Top,,"['metal', '2010', 'chill', 'rock']","[{'#text': 'https://lastfm.freetls.fastly.net/i/u/34s/6db141477d6a4c41991d8e3b5e6dfdbd.png', 'size': 'small'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/64s/6db141477d6a4c41991d8e3b5e6dfdbd.png', 'size': 'medium'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/174s/6db141477d6a4c41991d8e3b5e6dfdbd.png', 'size': 'large'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6db141477d6a4c41991d8e3b5e6dfdbd.png', 'size': 'extralarge'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6db141477d6a4c41991d8e3b5e6dfdbd.png', 'size': 'mega'}, {'#text': 'https://lastfm.freetls.fastly.net/i/u/300x300/6db141477d6a4c41991d8e3b5e6dfdbd.png', 'size': ''}]",9305,999c28d6-42d5-4822-b139-66e3cd2b64b5,179132,2010-02-09,['heavy metal'],https://www.last.fm/music/White+Wizzard/Over+The+Top,11.310000000000002,White Wizzard,Over the Top
