artist,album,release-date,listeners,playcount,tags,ignored tags
Drudkh,Autumn Aurora,2004-11-28,50202,1169956,['black metal'],"['atmospheric black metal', '2004', 'atmospheric', 'albums I own']"
Carcass,Surgical Steel,2013-09-04,50190,1636644,"['death metal', 'thrash metal']","['Melodic Death Metal', '2013', 'best of 2013']"
Annihilator,"Never, Neverland",1991,50188,1082909,"['thrash metal', 'speed metal', 'heavy metal']","['albums I own', 'metal']"
Sunn O))),Monoliths & Dimensions,2009-05-18,50186,573519,[],"['drone', '2009', 'drone doom', 'dark ambient', 'experimental']"
Fleshgod Apocalypse,Agony,2011-08-09,50111,1725217,"['death metal', 'symphonic death metal', 'symphonic metal']","['Technical Death Metal', '2011']"
Faith No More,Angel Dust,1992-06-08,501027,9298751,['alternative metal'],"['albums I own', 'alternative rock', 'rock', '1992']"
Iced Earth,Dystopia,2011-10-17,50096,1246134,"['heavy metal', 'thrash metal']","['Power metal', '2011', 'metal']"
Lamb of God,Sacrament,2006-08-22,500078,9875564,"['metalcore', 'thrash metal']","['groove metal', 'albums I own', 'metal']"
In Flames,Come Clarity,2006-02-01,499817,20178755,"['death metal', 'metalcore']","['Melodic Death Metal', 'albums I own', 'metal']"
Obituary,Xecutioner's Return,2007-08-27,49963,514521,"['death metal', 'doom metal']","['2007', 'old school death metal', 'death-doom metal']"
Nevermore,The Politics of Ecstasy,1996-10-28,49653,680085,"['heavy metal', 'thrash metal']","['Progressive metal', 'albums I own', 'progressive thrash metal']"
Nightwish,Dark Passion Play,2007-09-26,493601,16784799,['symphonic metal'],"['albums I own', 'Power metal', 'metal', 'Female fronted metal']"
King Diamond,Fatal Portrait,1986,49355,834723,"['heavy metal', 'black metal']","['Progressive metal', 'albums I own', '80s']"
Black Sabbath,Master of Reality,1971-07-21,491722,6638570,"['heavy metal', 'doom metal']","['hard rock', 'albums I own', '1971']"
Judas Priest,Painkiller,1990-09-03,491514,6985368,"['heavy metal', 'speed metal']","['albums I own', 'metal', '1990']"
Falconer,Falconer,2001-03-07,48898,892002,"['folk metal', 'heavy metal', 'melodic metal']","['Power metal', 'albums I own']"
Nightwish,Once,2004-06-04,485630,14483214,['symphonic metal'],"['albums I own', 'Gothic Metal', 'metal', 'finnish']"
Cannibal Corpse,Torture,2012-03-09,48548,1269420,['death metal'],"['2012', 'Brutal Death Metal', 'albums I own', '2010s']"
Dying Fetus,Reign Supreme,2012-06-19,48470,1144586,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', '2012', 'best of 2012']"
Overkill,Horrorscope,1991-09-03,48328,847589,"['thrash metal', 'heavy metal']","['albums I own', 'thrash', '1991']"
Napalm Death,Harmony Corruption,1990-08,48182,726899,"['death metal', 'grindcore', 'deathgrind']","['1990', 'Grind']"
The Black Dahlia Murder,Ritual,2011-06-21,48150,2109801,['death metal'],"['Melodic Death Metal', 'this is not deathcore', 'albums I own', '2011']"
Symphony X,Iconoclast,2011-06-17,48035,1382814,['symphonic metal'],"['Progressive metal', 'Power metal', 'progressive power metal', '2011']"
1349,Beyond the Apocalypse,2004-04-19,47990,744736,['black metal'],"['albums I own', 'Norway', 'True Norwegian Black Metal', 'Norwegian Black Metal']"
Entombed,Clandestine,1991-11-12,47897,935422,['death metal'],"['old school death metal', '1991', 'albums I own', 'Swedish Death Metal']"
Black Sabbath,Black Sabbath,1970-02-13,477882,6520286,['heavy metal'],"['hard rock', 'albums I own', '1970', 'classic rock']"
Mayhem,Grand Declaration of War,2000-04-29,47615,1085991,['black metal'],"['experimental', 'Avant-garde Metal', 'Avant-Garde', 'Avant-Garde Black Metal']"
Slayer,Haunting the Chapel,1984,47301,585514,"['thrash metal', 'speed metal']","['albums I own', 'metal', '1984']"
Acid Bath,Paegan Terrorism Tactics,1996-11-12,47266,1442691,['sludge metal'],"['Sludge', 'Stoner Rock', '1996', 'albums I own']"
Danzig,Danzig,1988-08-30,472482,5334338,['heavy metal'],"['hard rock', 'albums I own', '1988', 'metal']"
Stratovarius,Nemesis,2012-02-20,47102,1100702,[],"['2013', 'Power metal', 'Progressive metal', 'albums I own', 'best of 2013']"
Helloween,Chameleon,1993-05,47001,806122,['heavy metal'],"['Progressive rock', 'Power metal', '1993', 'hard rock']"
Horrendous,The Chills,2012-01-02,4687,96629,['death metal'],"['2012', 'best of 2012', 'albums I own']"
Alice in Chains,Alice in Chains,1995-11-07,468285,7110829,['alternative metal'],"['Grunge', 'albums I own', '90s', '1995']"
Autopsy,Mental Funeral,1991-04-22,46767,1107032,"['death metal', 'doom metal']","['albums I own', 'old school death metal', '1991']"
Megadeth,Countdown To Extinction,1992-07-06,467035,8711886,"['thrash metal', 'heavy metal']","['albums I own', 'metal', '1992']"
Sepultura,Morbid Visions,1986-11-10,46663,580167,"['death metal', 'thrash metal', 'black metal']","['1986', 'metal']"
Manowar,Into Glory Ride,1983-07,46589,693202,['heavy metal'],"['1983', 'Power metal', 'albums I own', 'metal']"
Immortal,Diabolical Fullmoon Mysticism,1992-07-01,46567,782056,['black metal'],"['True Norwegian Black Metal', 'Norwegian Black Metal', 'norwegian', 'metal']"
Iron Maiden,Fear of the Dark,1992-05-11,464498,9363231,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '1992']"
Megadeth,Super Collider,2013-05-31,46442,1088112,"['thrash metal', 'heavy metal']","['Gay Metal', 'mallcore', 'teh gayz']"
Corrosion of Conformity,In the Arms of God,2005-04-04,46324,619676,['heavy metal'],"['Stoner Rock', 'metal', '2005', 'stoner']"
Samael,Solar Soul,2007-06-01,46309,1301536,['black metal'],"['industrial metal', 'Dark metal', 'albums I own', '2007']"
Gorgoroth,Ad Majorem Sathanas Gloriam,2006-06-19,46308,1287774,['black metal'],"['albums I own', 'Norwegian Black Metal', 'norwegian', 'metal']"
Control Denied,The Fragile Art of Existence,1999-05-13,46251,706910,['heavy metal'],"['Progressive metal', 'Power metal', 'albums I own', '1999']"
Pig Destroyer,Prowler In the Yard,2001-07-24,46068,1777323,"['grindcore', 'death metal']","['2001', 'sludgecore', 'flawless']"
Moonsorrow,Verisäkeet,2005-02-23,45890,798561,"['folk metal', 'viking metal', 'black metal', 'pagan metal']",['Progressive metal']
Iron Maiden,Brave New World,2000-05-30,457312,10493991,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '2000']"
Bathory,Twilight of the Gods,1991-06-29,45631,995199,"['viking metal', 'black metal']","['scandinavian', 'metal', 'epic viking metal']"
Drudkh,Forgotten Legends,2003-02-23,45577,551458,"['black metal', 'pagan metal']","['atmospheric black metal', 'favourite albums', 'pagan black metal']"
Burzum,Hliðskjálf,1999-04-26,45513,566548,['black metal'],"['ambient', 'dark ambient', 'dungeon synth', 'instrumental']"
Mastodon,Leviathan,2004-08-31,454950,9578959,['sludge metal'],"['whalecore', 'Progressive metal', '2004', 'metal']"
The Faceless,Autotheism,2012-08-14,45331,1365146,['death metal'],"['progressive death metal', 'Technical Death Metal', 'Progressive metal', 'best metal and hard rock albums of 2012']"
3 Inches of Blood,Fire Up The Blades,2007-06-20,45211,954523,"['heavy metal', 'thrash metal']","['Power metal', 'metal', '2007']"
Nevermore,The Obsidian Conspiracy,2010-05-28,45110,1336179,['thrash metal'],"['Progressive metal', 'albums I own', 'best of 2010', 'metal']"
Nightwish,Century Child,2002-06-24,450710,11607734,['symphonic metal'],"['albums I own', 'Power metal', 'Gothic Metal', 'metal']"
Cryptopsy,Blasphemy Made Flesh,1994-11-25,44824,702992,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', 'Brutal Technical Death Metal', '1994']"
Celtic Frost,Into The Pandemonium,1987-11-02,44801,559920,['thrash metal'],"['Avant-garde Metal', 'Avant-Garde', 'metal', 'Gothic Metal']"
Gorgoroth,Antichrist,1996-06-03,44751,719578,['black metal'],"['albums I own', 'True Norwegian Black Metal', 'Norwegian Black Metal', 'best black metal albums']"
Black Sabbath,Tyr,1990-06,44659,816592,['heavy metal'],"['1990', 'hard rock', 'cozy powell', 'rock']"
Woods of Ypres,Woods 5: Grey Skies & Electric Light,2012-02-24,44594,1289800,"['doom metal', 'black metal']","['albums I own', '2012', 'metal']"
All That Remains,The Fall of Ideals,2006-01-01,445844,11848924,['metalcore'],"['Melodic Death Metal', 'metal', 'albums I own', 'melodic metalcore']"
Dream Theater,Images and Words,1992-06-30,443256,9766411,[],"['Progressive metal', 'albums I own', 'Progressive rock', '1992', 'favourite albums']"
Enslaved,Vertebrae,2008-09-26,44265,1049746,['black metal'],"['Progressive metal', '2008', 'progressive black metal', 'albums I own']"
Six Feet Under,Haunted,1995-09-26,44079,698746,['death metal'],"['1995', 'metal', 'Megadeth', 'albums I own']"
Bolt Thrower,Honour - Valour - Pride,2001-11-14,4389,97383,"['death metal', 'grindcore']","['albums I own', 'metal', 'best of 2001']"
Gamma Ray,Heading For Tomorrow,1990-02-19,43829,679632,"['heavy metal', 'speed metal']","['Power metal', 'albums I own', 'Melodic Power Metal']"
Mayhem,Ordo Ad Chao,2007-04-23,43800,907259,['black metal'],"['albums I own', 'Norwegian Black Metal', 'Avant-Garde Black Metal', '2007']"
Rush,Moving Pictures,1981-02-06,437238,5527662,[],"['Progressive rock', 'albums I own', 'classic rock', 'hard rock', 'rock']"
Evile,Enter the Grave,2007-08-27,43720,837479,['thrash metal'],"['2007', 'albums I own', 'thrash', '2000s']"
Soilwork,The Living Infinite,2013-01-03,43523,2177710,[],"['Melodic Death Metal', '2013', 'Progressive metal', 'best of 2013', 'albums I own']"
Morbid Angel,Heretic,2003-09-22,43087,835138,['death metal'],"['albums I own', '2003', 'Technical Death Metal', 'morbid angel']"
Primordial,The Gathering Wilderness,2005-02-07,43074,854787,"['black metal', 'folk metal', 'pagan metal', 'doom metal']",['albums I own']
Suffocation,Human Waste,1991-05-01,42890,314601,['death metal'],"['Brutal Death Metal', 'Technical Death Metal', '1991', 'metal']"
My Dying Bride,As the Flower Withers,1992-05-22,42862,533770,"['doom metal', 'death metal']","['albums I own', 'Death Doom Metal', 'death doom']"
Immortal,Blizzard Beasts,1997-03-20,42833,898502,['black metal'],"['Norwegian Black Metal', 'True Norwegian Black Metal', 'albums I own', 'metal']"
Napalm Death,From Enslavement To Obliteration,1988-08,42830,1560221,"['grindcore', 'death metal']","['1988', 'albums I own', 'orthodox grindcore']"
Deicide,Serpents of the Light,1997,42657,747247,['death metal'],"['jesuscore', '1997', 'metal', 'albums I own']"
Beneath the Massacre,Mechanics of Dysfunction,2007-02-20,42629,984002,"['death metal', 'deathcore']","['Technical Death Metal', 'Brutal Death Metal', 'albums I own']"
Symphony X,Twilight In Olympus,1998-02-25,42246,837168,['symphonic metal'],"['Progressive metal', 'Power metal', 'Progressive rock', 'progressive power metal']"
DragonForce,The Power Within,2012-04-11,42124,1176229,"['heavy metal', 'speed metal']","['Power metal', 'Extreme Power Metal', 'metal']"
Summoning,Old Mornings Dawn,2013-06-07,42104,1269817,['black metal'],"['2013', 'atmospheric black metal', 'epic black metal', 'Symphonic Black Metal']"
Atheist,Piece of Time,1990,42079,891769,['death metal'],"['Technical Death Metal', 'Progressive metal', 'progressive death metal', '1989']"
Nightwish,Wishmaster,2000-05-02,420207,10589804,['symphonic metal'],"['albums I own', 'Power metal', 'Gothic Metal', 'finnish']"
King Diamond,Conspiracy,1989-10-05,41842,734229,['heavy metal'],"['albums I own', '80s', '1989', 'Progressive metal']"
Pestilence,Consuming Impulse,1989-12-25,41838,846056,['death metal'],"['old school death metal', '1989', 'albums I own', 'Technical Death Metal']"
Sodom,Code Red,1999-05-31,41799,763699,['thrash metal'],"['german thrash metal', '1999', 'My Favorite Albums', 'metal']"
Hate Eternal,"I, Monarch",2005-06-27,41722,682837,['death metal'],"['Brutal Death Metal', 'albums I own', 'Technical Death Metal', 'metal']"
Morbid Angel,Illud Divinum Insanus,2011-06-06,41708,643736,['death metal'],"['epic fail', 'Industrial Death Metal', 'dicksucking mtv glamourus trend metal', 'o ja pierdole']"
Napalm Death,Smear Campaign,2006-09-18,41625,1028109,"['grindcore', 'death metal', 'deathgrind']","['albums I own', '2006']"
Judas Priest,Jugulator,1997-10-16,41560,763032,"['heavy metal', 'thrash metal']","['1997', 'albums I own', 'groove metal']"
Bloodbath,Unblessing The Purity,2008-03-10,41503,519049,['death metal'],"['Brutal Death Metal', '2008', 'metal', 'old school death metal']"
Within Temptation,The Heart of Everything,2007-03-09,411485,11057045,['symphonic metal'],"['albums I own', 'Gothic Metal', 'Female fronted metal', 'metal']"
Heathen,Victims Of Deception,1991-05-21,40947,458920,"['thrash metal', 'speed metal']","['metal', 'Progressive metal', 'thrash']"
Windir,Arntor,1999-10-11,40879,1081229,"['black metal', 'viking metal', 'folk metal']","['melodic black metal', '1999']"
Taake,Noregs Vaapen,2011-09-19,40864,757656,['black metal'],"['Norwegian Black Metal', 'norwegian', '2011', 'True Norwegian Black Metal']"
Warbringer,War Without End,2008-02-05,40785,675521,['thrash metal'],"['albums I own', 'metal', 'Megadeth', 'waltz']"
Origin,Antithesis,2008-04-01,40720,1017213,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', '2008', 'albums I own']"
Gorgoroth,Under the Sign of Hell,1997-10-20,40700,898792,['black metal'],"['albums I own', 'Norwegian Black Metal', 'True Norwegian Black Metal', 'metal']"
Children of Bodom,Halo of Blood,2013-05-29,40662,1217331,['death metal'],"['Melodic Death Metal', '2013', 'Power metal', 'Extreme Power Metal']"
Skid Row,Skid Row,1989-01-24,405726,5120846,"['heavy metal', 'hair metal']","['hard rock', '80s', 'albums I own']"
Alice in Chains,Black Gives Way to Blue,2009-09-25,404924,7484532,['alternative metal'],"['Grunge', 'albums I own', '2009', 'hard rock']"
Slayer,Seasons in the Abyss,1990,403877,8317562,['thrash metal'],"['albums I own', 'metal', '1990', 'Slayer']"
Wolves in the Throne Room,Black Cascade,2009-03-31,40252,729399,['black metal'],"['atmospheric black metal', '2009', 'dark ambient', 'albums I own']"
The Red Chord,Fused Together in Revolving Doors,2002-03-19,40208,443788,"['death metal', 'deathcore', 'mathcore', 'deathgrind']",['metal']
Iron Maiden,Seventh Son Of A Seventh Son,1988-04-11,401264,6999072,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '1988']"
Overkill,Ironbound,2010-01-29,40081,866729,"['thrash metal', 'speed metal']","['2010', 'metal', 'albums I own']"
Witchfinder General,Death Penalty,1982,40034,670234,"['doom metal', 'NWOBHM', 'heavy metal']","['Traditional Doom Metal', '1982']"
Immolation,Providence,2011-10-11,3995,91640,['death metal'],"['2011', 'metal', 'albums I own', 'Technical Death Metal']"
Voivod,Nothingface,1989-10-13,39906,500002,['thrash metal'],"['Progressive metal', 'progressive thrash metal', '1989', 'albums I own']"
Children of Bodom,Are You Dead Yet?,2006-06-06,397642,9344413,['death metal'],"['Melodic Death Metal', 'albums I own', 'Power metal', 'metal']"
Death Angel,The Ultra-Violence,1987-04-23,39699,571805,['thrash metal'],"['albums I own', '1987', 'bay area thrash metal', 'metal']"
Marduk,Panzer Division Marduk,1999-03-05,39679,1144150,['black metal'],"['swedish black metal', 'swedish', 'albums I own', 'Masterpiece']"
Bolt Thrower,...For Victory,1994-11-21,39538,859100,['death metal'],"['old school death metal', '1994', 'albums I own', 'cds I own']"
Gorgoroth,Quantos Possunt Ad Satanitatem Trahunt,2009-10-21,39524,932238,['black metal'],"['Norwegian Black Metal', '2009', 'melodic black metal', 'metal']"
Metallica,St. Anger,2003-06-23,394854,8052412,"['heavy metal', 'thrash metal']","['albums I own', 'metal', 'BONK BONK BONK']"
Darkthrone,F.O.A.D.,2007-09-24,39396,778649,"['black metal', 'crust punk']","['Black n Roll', 'albums I own', 'punk']"
Triptykon,Eparistera Daimones,2010-03-19,39375,893528,"['doom metal', 'thrash metal', 'black metal']","['2010', 'metal']"
Iron Maiden,Iron Maiden,1980-04-14,390345,7084675,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '1980']"
Dark Angel,Darkness Descends,1986-11-17,38984,865670,['thrash metal'],"['albums I own', '1986', 'bay area thrash metal', 'metal on vinyl']"
Slayer,South of Heaven,1988-07-05,386318,7030963,"['thrash metal', 'speed metal']","['albums I own', 'metal', '1988']"
Sepultura,Roots,1996-02-21,386228,5610559,['thrash metal'],"['groove metal', 'metal', 'albums I own', 'Nu Metal']"
Cannibal Corpse,A Skeletal Domain,2014-09-10,38599,846991,['death metal'],"['2014', 'Brutal Death Metal', 'metal', '2010s']"
Vader,The Art of War,2005-11-14,38568,769170,"['death metal', 'thrash metal']","['albums I own', 'polish', '2005']"
Cattle Decapitation,Monolith of Inhumanity,2012-05-04,38508,1440441,"['death metal', 'deathgrind', 'grindcore']","['2012', 'Brutal Death Metal']"
Beherit,Drawing Down the Moon,1993-11-13,38479,1216651,['black metal'],"['raw black metal', 'Finnish Black Metal', '1993', 'Lo-Fi']"
Opeth,Damnation,2003-04-07,384624,13451213,[],"['Progressive rock', 'albums I own', 'Progressive metal', 'favourite albums', '2003']"
Vital Remains,Icons Of Evil,2007-04-02,38362,544449,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', 'metal', 'brutal']"
Iron Maiden,Dance Of Death,2003-09-03,381997,8260480,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '2003']"
Flotsam and Jetsam,Doomsday for the Deceiver,1986,38156,378095,"['thrash metal', 'speed metal']","['1986', 'metal', 'thrash']"
Gorguts,Obscura,1998,38040,1078665,['death metal'],"['Technical Death Metal', 'Avant-garde Metal', 'Progressive metal', 'progressive death metal']"
Ihsahn,The Adversary,2006-04-10,38036,820046,['black metal'],"['Progressive metal', 'progressive black metal', 'albums I own', '2006']"
Metal Church,The Dark,1986-10-06,37954,526165,"['thrash metal', 'heavy metal', 'speed metal']","['1986', '80s']"
Destruction,Infernal Overkill,1985-05-24,37797,487560,"['thrash metal', 'teutonic thrash metal']","['1985', 'old school thrash metal', 'german thrash metal']"
Pallbearer,Foundations of Burden,2014-08-19,37703,580513,['doom metal'],"['2014', 'best of 2014', 'traditional doom', 'classic doom']"
I,Between Two Worlds,2006-11-03,37581,1005191,"['black metal', 'heavy metal', 'blackened heavy metal']","['albums I own', 'norwegian']"
Obscura,Omnivium,2011-03-23,37548,913219,['death metal'],"['Technical Death Metal', 'progressive death metal', '2011', 'Progressive metal']"
Anthrax,Among the Living,1987-03-22,374431,4130807,"['thrash metal', 'heavy metal']","['albums I own', '1987', 'metal']"
Absu,Tara,2001-05-23,37411,672777,"['black metal', 'thrash metal']","['2001', 'metal', 'blackened thrash metal']"
Kreator,Terrible Certainty,1987-09-22,37333,600356,['thrash metal'],"['albums I own', 'german thrash metal', '1987', '1980s']"
Summoning,Let Mortal Heroes Sing Your Fame,2001-11-05,37331,1458590,['black metal'],"['atmospheric black metal', 'epic black metal', 'albums I own', '2001']"
Children of Bodom,Follow the Reaper,2000-10-30,373064,9278916,['death metal'],"['Melodic Death Metal', 'albums I own', 'Power metal', 'metal']"
Burzum,Umskiptar,2012-05-21,37290,1016213,['black metal'],"['2012', 'atmospheric black metal', 'Skaldic Metal', 'dark ambient']"
Running Wild,Death or Glory,1989-11-08,37091,785282,"['heavy metal', 'speed metal', 'pirate metal']","['Power metal', '1989']"
Marduk,Frontschwein,2015-01-19,36604,837769,['black metal'],"['2015', 'swedish black metal', 'best of 2015', 'War Black Metal']"
Behemoth,Sventevith (Storming Near the Baltic),1995,36504,520163,['black metal'],"['albums I own', 'polish black metal', '1995', 'metal']"
Dying Fetus,Killing on Adrenaline,1998,36483,670002,"['death metal', 'grindcore']","['Brutal Death Metal', 'albums I own', '1998']"
Hate Eternal,King Of All Kings,2002-09-16,36248,470443,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', 'metal', 'albums I own']"
Cryptopsy,Once Was Not,2005-10-14,36226,713788,['death metal'],"['Technical Death Metal', 'progressive death metal', 'Brutal Death Metal', '2005']"
Mayhem,Wolf's Lair Abyss,1997-11-03,36069,378111,['black metal'],"['True Norwegian Black Metal', 'FUCK ALL HUMANITY', 'Norwegian Black Metal', 'albums I own']"
Nightwish,Oceanborn,1998-12-07,360611,8849708,['symphonic metal'],"['albums I own', 'Power metal', 'Gothic Metal', 'metal']"
Decrepit Birth,Diminishing Between Worlds,2008-01-29,35825,895411,['death metal'],"['Technical Death Metal', 'Brutal Technical Death Metal', 'Brutal Death Metal', 'albums I own']"
Black Sabbath,Sabbath Bloody Sabbath,1973,356266,5058463,['heavy metal'],"['hard rock', '1973', 'classic rock', 'albums I own']"
Demilich,Nespithe,1993-02-08,35518,980133,['death metal'],"['Technical Death Metal', '1993', 'progressive death metal', 'finnish']"
Ahab,The Call of the Wretched Sea,2006-09-29,35471,749047,"['doom metal', 'funeral doom']","['funeral doom metal', 'whalecore', '2006']"
Cathedral,Forest of Equilibrium,1991-12-06,35416,356632,"['doom metal', 'death metal']","['1991', 'albums I own', 'metal']"
Anaal Nathrakh,Eschaton,2006-10-16,35383,946078,"['black metal', 'grindcore']","['albums I own', '2006', 'metal']"
Silencer,Death - Pierce Me,2001-10-30,35351,870826,['black metal'],"['Suicidal Black Metal', 'depressive black metal', 'DSBM', 'insane vocals']"
Wormed,Planisphærium,2003,3533,69504,"['grindcore', 'goregrind']","['albums I own', '2003', 'best of 2003']"
Iron Maiden,Somewhere In Time,1986-06-29,351777,5993150,"['heavy metal', 'NWOBHM']","['albums I own', '1986', 'metal']"
Alcest,Le secret,2005-01,35042,336817,['black metal'],"['metal', 'shoegaze', 'shoegaze black metal', 'atmospheric']"
Sepultura,Chaos A.D.,1993-09-01,350414,4892951,['thrash metal'],"['groove metal', 'albums I own', 'metal', '1993']"
Opeth,Blackwater Park,2001-03-12,349689,11582401,['death metal'],"['albums I own', 'progressive death metal', 'Progressive metal', 'metal']"
Unexpect,In A Flesh Aquarium,2006-08-22,34838,746878,[],"['Avant-garde Metal', 'experimental', 'Progressive metal', 'Avant-Garde', 'Avantgarde Metal']"
Incantation,Onward To Golgotha,1992-05-05,34813,786351,['death metal'],"['old school death metal', '1992', 'metal', '1990s']"
Mayhem,Live in Leipzig,1993-01-01,34716,514951,['black metal'],"['live', 'True Norwegian Black Metal', 'albums I own', 'Norwegian Black Metal']"
King Diamond,The Eye,1990-12-16,34640,688793,['heavy metal'],"['albums I own', 'favorite albums', '90s', 'horror metal']"
Deep Purple,Machine Head,1972-03,344785,4018033,[],"['hard rock', 'classic rock', '70s', 'albums I own', '1972']"
Anaal Nathrakh,In the Constellation of the Black Widow,2009-06-29,34437,1577769,"['black metal', 'grindcore']","['conentric power of annihilating armageddon wave that incinerates every atom in the entire universe in an infinite instant', '2009', 'industrial black metal']"
In Flames,Clayman,2000-07-03,344334,12157700,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', 'favourite albums']"
Children of Bodom,Hate Crew Deathroll,2003-01-06,343736,7341041,['death metal'],"['Melodic Death Metal', 'albums I own', 'Power metal', 'finnish']"
Savatage,Edge of Thorns,1993-04-06,34318,922166,['heavy metal'],"['Progressive metal', '1993', 'albums I own', 'Power metal']"
The Berzerker,Dissimulate,2002-08-26,34263,714187,"['grindcore', 'death metal']","['Industrial Death Metal', '2002', 'industrial']"
Skid Row,Slave to the Grind,1991,338736,3849779,"['heavy metal', 'hair metal']","['hard rock', 'albums I own', '1991']"
Summoning,Dol Guldur,1996,33669,1081682,['black metal'],"['atmospheric black metal', 'albums I own', 'epic black metal', 'epic']"
Coroner,Punishment for Decadence,1988-08-01,33625,593304,['thrash metal'],"['1988', 'Technical Thrash Metal', 'Progressive metal', 'metal']"
Judas Priest,Screaming for Vengeance,1982-07-17,335538,4215729,['heavy metal'],"['albums I own', 'metal', '1982', 'hard rock']"
Enslaved,RIITIIR,2012-09-28,33387,888520,[],"['Progressive metal', 'vomit-inducing homoerotic black metal', 'double penetration dildo metal', 'leather daddy rape soundtrack', 'progressive leather daddy metal']"
Cryptopsy,Whisper Supremacy,1998-09-22,33280,436468,['death metal'],"['Technical Death Metal', '1998', 'canada', 'progressive death metal']"
Vektor,Outer Isolation,2011-11-22,33252,671582,['thrash metal'],"['Technical Thrash Metal', '2011', 'progressive thrash metal', 'metal']"
Pantera,Far Beyond Driven,1994-03-18,330644,7969708,"['thrash metal', 'heavy metal']","['albums I own', 'groove metal', 'metal']"
Angel Witch,Angel Witch,1980-03-12,33047,807658,"['heavy metal', 'NWOBHM']","['1980', '80s', 'metal']"
Edge of Sanity,Crimson,1996-03-06,33015,379339,['death metal'],"['progressive death metal', 'Melodic Death Metal', 'albums I own', '1996']"
Insect Warfare,World Extermination,2007-07-01,32866,1559609,['grindcore'],"['2007', 'albums I own', 'amazing', 'Love it']"
Megadeth,Youthanasia,1994-10-24,327673,6605197,"['heavy metal', 'thrash metal']","['albums I own', 'metal', '1994']"
DragonForce,Inhuman Rampage,2005-12-28,327459,6300779,['speed metal'],"['Power metal', 'albums I own', 'Extreme Power Metal', 'metal']"
Voivod,Killing Technology,1987,32588,445316,['thrash metal'],"['progressive thrash metal', '1987', 'Progressive metal', 'albums I own']"
Anaal Nathrakh,The Codex Necro,2001-11-27,32436,672134,"['black metal', 'grindcore']","['2001', 'metal', 'Blackened Death Metal']"
Deicide,Till Death Do Us Part,2008-04-25,32428,551429,"['death metal', 'grindcore']","['Girls dont feel good on album covers', '2008', 'Brutal Death Metal']"
Blut aus Nord,The Work Which Transforms God,2003-03-17,32213,740249,['black metal'],"['atmospheric black metal', 'industrial black metal', '2003', 'industrial metal']"
Black Sabbath,Heaven and Hell,1980-04-25,321180,4396644,['heavy metal'],"['hard rock', 'albums I own', 'metal', 'classic rock']"
Marduk,Plague Angel,2004-11-22,32036,998439,['black metal'],"['albums I own', 'swedish', 'swedish black metal', 'metal']"
Slayer,God Hates Us All,2001-08-29,319862,8117727,"['thrash metal', 'speed metal']","['albums I own', 'metal', '2001']"
Elvenking,Heathenreel,2001-07-23,31933,920490,"['folk metal', 'melodic metal']","['Power metal', 'metal', 'albums I own']"
Arsis,We Are The Nightmare,2008-04-15,31911,788767,"['death metal', 'black metal']","['Technical Death Metal', 'Melodic Death Metal', 'technical melodic death metal']"
Children of Bodom,Hatebreeder,1999-04-21,319093,7035860,['death metal'],"['Melodic Death Metal', 'albums I own', 'Power metal', 'metal']"
Exhorder,Slaughter In The Vatican,1990-10-23,31818,384513,['thrash metal'],"['1990', 'groove metal', 'albums I own', '90s']"
Arch Enemy,Doomsday Machine,2005-07-21,317476,7383159,['death metal'],"['Melodic Death Metal', 'albums I own', 'swedish', '2005']"
Helloween,Straight Out Of Hell,2013-01-16,31608,1015308,"['heavy metal', 'speed metal']","['Power metal', '2013', 'homoerotic wet dream nostalgia metal']"
Iron Maiden,Killers,1981-02-02,315879,6657244,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '1981']"
Lacuna Coil,Comalies,2002-09-18,315326,7311692,[],"['Gothic Metal', 'albums I own', 'Female fronted metal', 'metal', 'female vocalists']"
Samael,Ceremony of Opposites,1994-02-28,31447,796102,['black metal'],"['1994', 'Dark metal', 'metal', 'albums I own']"
Immolation,Majesty And Decay,2010-03-05,31402,952132,['death metal'],"['2010', 'Technical Death Metal', 'metal', 'Brutal Death Metal']"
Immolation,Close to a World Below,2000-11-01,31395,694310,['death metal'],"['Technical Death Metal', '2000', 'Brutal Death Metal', '2000s']"
Overkill,Under the Influence,1988-07-01,31358,491472,"['thrash metal', 'heavy metal']","['albums I own', 'metal', '1988']"
Deicide,To Hell With God,2011-02-15,31352,637692,"['death metal', 'black metal']","['2011', 'metal', 'Brutal Death Metal']"
Pestilence,Testimony of the Ancients,1991-07,31340,644265,['death metal'],"['Technical Death Metal', 'albums I own', 'progressive death metal', 'old school death metal']"
Watain,Casus Luciferi,2003-11,31233,701523,['black metal'],"['swedish black metal', '2003', 'albums I own', 'Orthodox Black Metal']"
