artist,album,release-date,listeners,playcount,tags,ignored tags
Insomnium,Across the Dark,2009-09-07,75987,2945349,['doom metal'],"['Melodic Death Metal', 'Progressive metal', '2009', 'albums I own']"
The Faceless,Akeldama,2006-11-14,75847,1810971,"['death metal', 'deathcore']","['Technical Death Metal', 'Technical Deathcore', 'Progressive metal']"
Nevermore,Dreaming Neon Black,1999-01-06,75634,1382070,"['thrash metal', 'heavy metal']","['Progressive metal', 'albums I own', 'Power metal']"
Nile,Ithyphallic,2007-07-17,75538,2143317,['death metal'],"['Technical Death Metal', 'albums I own', 'Brutal Death Metal', '2007']"
Necrophagist,Onset of Putrefaction,1999,75312,2117612,['death metal'],"['Technical Death Metal', 'progressive death metal', 'Brutal Death Metal', '1999']"
The Faceless,Planetary Duality,2008-11-11,75228,2718418,['death metal'],"['Technical Death Metal', 'progressive death metal', 'albums I own', 'favorite albums']"
Symphony X,The Odyssey,2002-11-04,75128,1735722,['symphonic metal'],"['Progressive metal', 'Power metal', 'albums I own', 'progressive power metal']"
Anathema,Serenades,1993-02-28,74830,1077761,"['doom metal', 'death metal']","['Death Doom Metal', 'albums I own', '1993']"
Nile,Amongst the Catacombs of Nephren-Ka,1998-05-28,74752,1531954,['death metal'],"['Brutal Death Metal', 'Technical Death Metal', 'albums I own', '1998']"
Black Sabbath,Headless Cross,1989-06-07,74558,1001242,['heavy metal'],"['hard rock', '1989', 'albums I own', 'Black Sabbath']"
Moonsorrow,V: Hävitetty,2007-01-10,7432,93940,"['folk metal', 'black metal', 'viking metal']","['epic', 'best of 2007']"
Katatonia,Dance Of December Souls,1993-12-15,74313,1565151,"['doom metal', 'death metal']","['Death Doom Metal', 'albums I own', 'Black Doom Metal']"
Godflesh,Streetcleaner,1989-11-13,74297,1419009,[],"['industrial metal', '1989', 'metal', 'industrial', 'Sludge']"
Metallica,...and Justice for All,1988,738157,15543710,"['thrash metal', 'heavy metal']","['albums I own', 'metal', 'metallica']"
Soilwork,A Predator's Portrait,2001-02-19,73278,1828152,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', 'Swedish Metal']"
Sunn O))),Black One,2005-10-03,73197,1069367,"['drone metal', 'black metal']","['drone', '2005', 'drone doom']"
Sodom,Sodom,2006-04-21,73114,1080428,"['thrash metal', 'black metal', 'speed metal']","['metal', '2006']"
Blind Guardian,Battalions Of Fear,1988-02-15,73014,1750631,"['speed metal', 'heavy metal', 'thrash metal']","['Power metal', 'albums I own']"
Morbid Angel,Covenant,1993-06-22,72927,1791576,['death metal'],"['albums I own', 'old school death metal', '1993', 'metal']"
Deicide,The Stench Of Redemption,2006-08-18,71975,1262500,['death metal'],"['albums I own', 'Brutal Death Metal', '2006', 'metal']"
Acid Bath,When the Kite String Pops,1994-08-08,71485,2309522,"['doom metal', 'sludge metal', 'stoner metal']","['Sludge', '1994']"
Insomnium,Shadows Of The Dying Sun,2014-04-25,71252,2800987,[],"['Melodic Death Metal', '2014', 'best of 2014', 'finnish', 'albums I own']"
Dimmu Borgir,Spiritual Black Dimensions,1999-03-01,70646,1414978,['black metal'],"['Symphonic Black Metal', 'albums I own', 'melodic black metal', 'Norwegian Black Metal']"
Candlemass,Nightfall,1987-11-09,70554,1472582,"['doom metal', 'heavy metal']","['Epic Doom Metal', 'Traditional Doom Metal', 'albums I own']"
Vader,Litany,2000-03-15,70530,1534849,['death metal'],"['albums I own', 'metal', 'polish', '2000']"
Exodus,Shovel Headed Kill Machine,2005-09-30,69901,1099686,['thrash metal'],"['albums I own', '2005', 'Bay Area', 'metal']"
Darkthrone,Panzerfaust,1995-06-06,69774,1232099,['black metal'],"['Norwegian Black Metal', 'True Norwegian Black Metal', 'albums I own', '1995']"
Cannibal Corpse,Bloodthirst,1999-10-06,69659,1356195,"['death metal', 'grindcore']","['Brutal Death Metal', 'albums I own', 'metal']"
Summoning,Oath Bound,2006-03-31,69196,2086481,['black metal'],"['atmospheric black metal', 'epic black metal', 'albums I own', 'epic metal']"
Immortal,Battles In The North,1995-05-15,69132,1582994,['black metal'],"['Norwegian Black Metal', 'True Norwegian Black Metal', 'albums I own', 'norwegian']"
Arcturus,The Sham Mirrors,2002-04-22,68900,1582191,['black metal'],"['Avant-garde Metal', 'Progressive metal', 'albums I own', 'metal']"
Carcass,Symphonies of Sickness,1989-11,68891,1211575,"['death metal', 'goregrind', 'grindcore', 'deathgrind']",['1989']
The Chasm,Farseeing the Paranormal Abysm,2009-09-15,6886,115337,"['death metal', 'thrash metal']","['2009', 'metal', 'best of 2009']"
Decapitated,Organic Hallucinosis,2006-02-13,68846,1243425,"['death metal', 'thrash metal']","['Technical Death Metal', 'Brutal Death Metal', 'polish']"
